,Close,High,Low,Open,Date,Volume
0,99.2447,100.89,98.77,100.89,2021-04-15,4517
1,99.1012,99.13,98.985,99.12,2021-04-18,4561
2,99.0441,99.3,98.79,98.79,2021-04-19,3736
3,98.9705,99.01,98.9,99.01,2021-04-20,997
4,99.001,99.04,98.86,98.925,2021-04-21,1599
5,98.98,99.01,98.8801,99.01,2021-04-22,1888
6,98.97,99.0,98.9082,99.0,2021-04-25,2503
7,98.8326,98.95,98.82,98.95,2021-04-26,1317
8,98.8864,98.8864,98.76,98.88,2021-04-27,1002
9,98.855,98.9,98.8,98.81,2021-04-28,2466
10,98.8893,98.93,98.88,98.92,2021-04-29,1922
11,98.9446,98.945,98.91,98.91,2021-05-02,2307
12,98.985,99.05,98.96,98.96,2021-05-03,2847
13,99.06,99.06,98.994,99.0,2021-05-04,2950
14,99.075,99.101,99.031,99.1,2021-05-05,4313
15,99.1475,99.215,99.1475,99.15,2021-05-06,1834
16,99.11,99.2,99.07,99.2,2021-05-09,2968
17,99.11,99.11,99.11,99.11,2021-05-11,0
18,99.11,99.11,99.11,99.11,2021-05-12,0
19,99.11,99.11,99.11,99.11,2021-05-13,0
20,99.11,99.11,99.11,99.11,2021-05-14,0
21,99.11,99.11,99.11,99.11,2021-05-17,0
22,99.11,99.11,99.11,99.11,2021-05-18,0
23,99.11,99.11,99.11,99.11,2021-05-19,0
24,99.11,99.11,99.11,99.11,2021-05-20,0
25,99.11,99.11,99.11,99.11,2021-05-21,0
26,99.11,99.11,99.11,99.11,2021-05-24,0
27,99.11,99.11,99.11,99.11,2021-05-25,0
28,99.11,99.11,99.11,99.11,2021-05-26,0
29,99.11,99.11,99.11,99.11,2021-05-27,0
30,99.11,99.11,99.11,99.11,2021-05-28,0
31,99.11,99.11,99.11,99.11,2021-06-01,0
32,99.11,99.11,99.11,99.11,2021-06-02,0
33,99.11,99.11,99.11,99.11,2021-06-03,0
34,99.11,99.11,99.11,99.11,2021-06-04,0
35,99.11,99.11,99.11,99.11,2021-06-07,0
36,99.11,99.11,99.11,99.11,2021-06-08,0
37,99.11,99.11,99.11,99.11,2021-06-09,0
38,99.11,99.11,99.11,99.11,2021-06-10,0
39,99.11,99.11,99.11,99.11,2021-06-11,0
40,99.11,99.11,99.11,99.11,2021-06-14,0
41,99.11,99.11,99.11,99.11,2021-06-15,0
42,99.11,99.11,99.11,99.11,2021-06-16,0
43,99.11,99.11,99.11,99.11,2021-06-17,0
44,99.11,99.11,99.11,99.11,2021-06-18,0
45,99.11,99.11,99.11,99.11,2021-06-21,0
46,99.11,99.11,99.11,99.11,2021-06-22,0
47,99.11,99.11,99.11,99.11,2021-06-23,0
48,99.11,99.11,99.11,99.11,2021-06-24,0
49,99.11,99.11,99.11,99.11,2021-06-25,0
50,99.11,99.11,99.11,99.11,2021-06-28,0
51,99.11,99.11,99.11,99.11,2021-06-29,0
52,99.11,99.11,99.11,99.11,2021-06-30,0
53,99.11,99.11,99.11,99.11,2021-07-01,0
54,99.11,99.11,99.11,99.11,2021-07-02,0
55,99.11,99.11,99.11,99.11,2021-07-06,0
56,99.11,99.11,99.11,99.11,2021-07-07,0
57,99.11,99.11,99.11,99.11,2021-07-08,0
58,99.11,99.11,99.11,99.11,2021-07-09,0
59,99.11,99.11,99.11,99.11,2021-07-12,0
60,99.11,99.11,99.11,99.11,2021-07-13,0
61,99.11,99.11,99.11,99.11,2021-07-14,0
62,99.11,99.11,99.11,99.11,2021-07-15,0
63,99.11,99.11,99.11,99.11,2021-07-16,0
64,99.6503,99.665,99.585,99.66,2021-07-19,20415
65,99.7074,99.7074,99.7074,99.7074,2021-07-20,37
66,99.5483,99.555,99.5483,99.555,2021-07-21,158
67,99.6382,99.6452,99.6382,99.64,2021-07-22,203
68,99.641,99.69,99.6201,99.6201,2021-07-23,14144
69,99.6525,99.675,99.639,99.675,2021-07-26,1736
70,99.7154,99.7154,99.7154,99.7154,2021-07-27,14
71,99.755,99.755,99.695,99.695,2021-07-28,163
72,99.7037,99.7037,99.68,99.681,2021-07-29,509
